configurations,google pixel format, model format, energy_efficiency estimated
020222-1-2,[0- 2- 0- 2- 2- 2- 1- 2],1-0-1-0-1-1-1-1-1-1,11982065584.914055
020222-2-2,[0- 2- 0- 2- 2- 2- 2- 2],1-0-1-0-1-1-1-1-1-1,11982065584.914055
020222-3-2,[0- 2- 0- 2- 2- 2- 3- 2],1-0-1-0-1-1-1-1-1-1,11982065584.914055
333333-2-0,[3- 3- 3- 3- 3- 3- 2- 0],2-1-1-1-1-1-1-1-1-0,11975338847.379133
303333-1-3,[3- 0- 3- 3- 3- 3- 1- 3],2-1-0-1-1-2-1-1-1-1,11974664165.651411
303333-2-3,[3- 0- 3- 3- 3- 3- 2- 3],2-1-0-1-1-2-1-1-1-1,11974664165.651411
303333-3-3,[3- 0- 3- 3- 3- 3- 3- 3],2-1-0-1-1-2-1-1-1-1,11974664165.651411
101111-1-2,[1- 0- 1- 1- 1- 1- 1- 2],0-1-0-1-1-1-1-1-1-1,11970436560.606945
101111-2-2,[1- 0- 1- 1- 1- 1- 2- 2],0-1-0-1-1-1-1-1-1-1,11970436560.606945
101111-3-2,[1- 0- 1- 1- 1- 1- 3- 2],0-1-0-1-1-1-1-1-1-1,11970436560.606945
011111-1-2,[0- 1- 1- 1- 1- 1- 1- 2],0-0-1-1-1-1-1-1-1-1,11960365888.500156
011111-2-2,[0- 1- 1- 1- 1- 1- 2- 2],0-0-1-1-1-1-1-1-1-1,11960365888.500156
011111-3-2,[0- 1- 1- 1- 1- 1- 3- 2],0-0-1-1-1-1-1-1-1-1,11960365888.500156
333303-1-2,[3- 3- 3- 3- 0- 3- 1- 2],2-1-1-1-1-1-0-1-1-1,11949057838.54208
333303-2-2,[3- 3- 3- 3- 0- 3- 2- 2],2-1-1-1-1-1-0-1-1-1,11949057838.54208
333303-3-2,[3- 3- 3- 3- 0- 3- 3- 2],2-1-1-1-1-1-0-1-1-1,11949057838.54208
330333-1-3,[3- 3- 0- 3- 3- 3- 1- 3],2-1-1-0-1-2-1-1-1-1,11932209628.92711
330333-2-3,[3- 3- 0- 3- 3- 3- 2- 3],2-1-1-0-1-2-1-1-1-1,11932209628.92711
330333-3-3,[3- 3- 0- 3- 3- 3- 3- 3],2-1-1-0-1-2-1-1-1-1,11932209628.92711
222220-1-3,[2- 2- 2- 2- 2- 0- 1- 3],1-1-1-1-1-2-1-0-1-1,11881280734.725368
222220-2-3,[2- 2- 2- 2- 2- 0- 2- 3],1-1-1-1-1-2-1-0-1-1,11881280734.725368
222220-3-3,[2- 2- 2- 2- 2- 0- 3- 3],1-1-1-1-1-2-1-0-1-1,11881280734.725368
033333-1-3,[0- 3- 3- 3- 3- 3- 1- 3],2-0-1-1-1-2-1-1-1-1,11861308456.016073
033333-2-3,[0- 3- 3- 3- 3- 3- 2- 3],2-0-1-1-1-2-1-1-1-1,11861308456.016073
033333-3-3,[0- 3- 3- 3- 3- 3- 3- 3],2-0-1-1-1-2-1-1-1-1,11861308456.016073
002222-1-2,[0- 0- 2- 2- 2- 2- 1- 2],1-0-0-1-1-1-1-1-1-1,11853777576.083496
002222-2-2,[0- 0- 2- 2- 2- 2- 2- 2],1-0-0-1-1-1-1-1-1-1,11853777576.083496
002222-3-2,[0- 0- 2- 2- 2- 2- 3- 2],1-0-0-1-1-1-1-1-1-1,11853777576.083496
222222-3-0,[2- 2- 2- 2- 2- 2- 3- 0],1-1-1-1-1-2-1-1-1-0,11837703275.405302
022222-0-2,[0- 2- 2- 2- 2- 2- 0- 2],1-0-1-1-1-1-1-1-0-1,11823927378.492905
222222-1-0,[2- 2- 2- 2- 2- 2- 1- 0],1-1-1-1-1-0-1-1-1-0,11778648920.983986
202222-0-2,[2- 0- 2- 2- 2- 2- 0- 2],1-1-0-1-1-1-1-1-0-1,11772771776.144848
200222-1-3,[2- 0- 0- 2- 2- 2- 1- 3],1-1-0-0-1-2-1-1-1-1,11767762562.016584
200222-2-3,[2- 0- 0- 2- 2- 2- 2- 3],1-1-0-0-1-2-1-1-1-1,11767762562.016584
200222-3-3,[2- 0- 0- 2- 2- 2- 3- 3],1-1-0-0-1-2-1-1-1-1,11767762562.016584
110111-1-3,[1- 1- 0- 1- 1- 1- 1- 3],0-1-1-0-1-2-1-1-1-1,11756645384.026188
110111-2-3,[1- 1- 0- 1- 1- 1- 2- 3],0-1-1-0-1-2-1-1-1-1,11756645384.026188
110111-3-3,[1- 1- 0- 1- 1- 1- 3- 3],0-1-1-0-1-2-1-1-1-1,11756645384.026188
200222-1-1,[2- 0- 0- 2- 2- 2- 1- 1],1-1-0-0-1-0-1-1-1-1,11743872734.464527
200222-2-1,[2- 0- 0- 2- 2- 2- 2- 1],1-1-0-0-1-0-1-1-1-1,11743872734.464527
200222-3-1,[2- 0- 0- 2- 2- 2- 3- 1],1-1-0-0-1-0-1-1-1-1,11743872734.464527
222022-1-2,[2- 2- 2- 0- 2- 2- 1- 2],1-1-1-1-0-1-1-1-1-1,11742625133.561543
222022-2-2,[2- 2- 2- 0- 2- 2- 2- 2],1-1-1-1-0-1-1-1-1-1,11742625133.561543
222022-3-2,[2- 2- 2- 0- 2- 2- 3- 2],1-1-1-1-0-1-1-1-1-1,11742625133.561543
333333-1-0,[3- 3- 3- 3- 3- 3- 1- 0],2-1-1-1-1-0-1-1-1-0,11724425252.565367
011111-1-3,[0- 1- 1- 1- 1- 1- 1- 3],0-0-1-1-1-2-1-1-1-1,11687146000.961182
011111-2-3,[0- 1- 1- 1- 1- 1- 2- 3],0-0-1-1-1-2-1-1-1-1,11687146000.961182
011111-3-3,[0- 1- 1- 1- 1- 1- 3- 3],0-0-1-1-1-2-1-1-1-1,11687146000.961182
101111-1-3,[1- 0- 1- 1- 1- 1- 1- 3],0-1-0-1-1-2-1-1-1-1,11682225254.17574
101111-2-3,[1- 0- 1- 1- 1- 1- 2- 3],0-1-0-1-1-2-1-1-1-1,11682225254.17574
101111-3-3,[1- 0- 1- 1- 1- 1- 3- 3],0-1-0-1-1-2-1-1-1-1,11682225254.17574
303333-0-2,[3- 0- 3- 3- 3- 3- 0- 2],2-1-0-1-1-1-1-1-0-1,11678935779.139763
020222-1-3,[0- 2- 0- 2- 2- 2- 1- 3],1-0-1-0-1-2-1-1-1-1,11678165153.624203
020222-2-3,[0- 2- 0- 2- 2- 2- 2- 3],1-0-1-0-1-2-1-1-1-1,11678165153.624203
020222-3-3,[0- 2- 0- 2- 2- 2- 3- 3],1-0-1-0-1-2-1-1-1-1,11678165153.624203
300333-1-2,[3- 0- 0- 3- 3- 3- 1- 2],2-1-0-0-1-1-1-1-1-1,11649951168.339327
300333-2-2,[3- 0- 0- 3- 3- 3- 2- 2],2-1-0-0-1-1-1-1-1-1,11649951168.339327
300333-3-2,[3- 0- 0- 3- 3- 3- 3- 2],2-1-0-0-1-1-1-1-1-1,11649951168.339327
033333-0-2,[0- 3- 3- 3- 3- 3- 0- 2],2-0-1-1-1-1-1-1-0-1,11648173956.817362
222202-1-1,[2- 2- 2- 2- 0- 2- 1- 1],1-1-1-1-1-0-0-1-1-1,11634577053.000793
222202-2-1,[2- 2- 2- 2- 0- 2- 2- 1],1-1-1-1-1-0-0-1-1-1,11634577053.000793
222202-3-1,[2- 2- 2- 2- 0- 2- 3- 1],1-1-1-1-1-0-0-1-1-1,11634577053.000793
022220-1-2,[0- 2- 2- 2- 2- 0- 1- 2],1-0-1-1-1-1-1-0-1-1,11613197816.223463
022220-2-2,[0- 2- 2- 2- 2- 0- 2- 2],1-0-1-1-1-1-1-0-1-1,11613197816.223463
022220-3-2,[0- 2- 2- 2- 2- 0- 3- 2],1-0-1-1-1-1-1-0-1-1,11613197816.223463
333303-1-3,[3- 3- 3- 3- 0- 3- 1- 3],2-1-1-1-1-2-0-1-1-1,11609125376.228262
333303-2-3,[3- 3- 3- 3- 0- 3- 2- 3],2-1-1-1-1-2-0-1-1-1,11609125376.228262
333303-3-3,[3- 3- 3- 3- 0- 3- 3- 3],2-1-1-1-1-2-0-1-1-1,11609125376.228262
220222-0-2,[2- 2- 0- 2- 2- 2- 0- 2],1-1-1-0-1-1-1-1-0-1,11603380160.862371
020222-1-1,[0- 2- 0- 2- 2- 2- 1- 1],1-0-1-0-1-0-1-1-1-1,11602111714.860744
020222-2-1,[0- 2- 0- 2- 2- 2- 2- 1],1-0-1-0-1-0-1-1-1-1,11602111714.860744
020222-3-1,[0- 2- 0- 2- 2- 2- 3- 1],1-0-1-0-1-0-1-1-1-1,11602111714.860744
333330-1-3,[3- 3- 3- 3- 3- 0- 1- 3],2-1-1-1-1-2-1-0-1-1,11592423449.39334
333330-2-3,[3- 3- 3- 3- 3- 0- 2- 3],2-1-1-1-1-2-1-0-1-1,11592423449.39334
333330-3-3,[3- 3- 3- 3- 3- 0- 3- 3],2-1-1-1-1-2-1-0-1-1,11592423449.39334
101111-1-1,[1- 0- 1- 1- 1- 1- 1- 1],0-1-0-1-1-0-1-1-1-1,11565153625.239925
101111-2-1,[1- 0- 1- 1- 1- 1- 2- 1],0-1-0-1-1-0-1-1-1-1,11565153625.239925
