configurations,google pixel format, model format, energy_efficiency estimated
030330-0-1,[0- 3- 0- 3- 3- 0- 0- 1],2-0-1-0-1-0-1-0-0-1,8801026049.142357
330030-1-2,[3- 3- 0- 0- 3- 0- 1- 2],2-1-1-0-0-1-1-0-1-1,8799706852.51716
330030-2-2,[3- 3- 0- 0- 3- 0- 2- 2],2-1-1-0-0-1-1-0-1-1,8799706852.51716
330030-3-2,[3- 3- 0- 0- 3- 0- 3- 2],2-1-1-0-0-1-1-0-1-1,8799706852.51716
200022-0-3,[2- 0- 0- 0- 2- 2- 0- 3],1-1-0-0-0-2-1-1-0-1,8787941455.78393
200200-1-3,[2- 0- 0- 2- 0- 0- 1- 3],1-1-0-0-1-2-0-0-1-1,8785395086.043575
200200-2-3,[2- 0- 0- 2- 0- 0- 2- 3],1-1-0-0-1-2-0-0-1-1,8785395086.043575
200200-3-3,[2- 0- 0- 2- 0- 0- 3- 3],1-1-0-0-1-2-0-0-1-1,8785395086.043575
011110-1-0,[0- 1- 1- 1- 1- 0- 1- 0],0-0-1-1-1-0-1-0-1-0,8782636683.91398
300330-0-1,[3- 0- 0- 3- 3- 0- 0- 1],2-1-0-0-1-0-1-0-0-1,8780937159.867558
020022-0-2,[0- 2- 0- 0- 2- 2- 0- 2],1-0-1-0-0-1-1-1-0-1,8778048724.503187
110011-0-1,[1- 1- 0- 0- 1- 1- 0- 1],0-1-1-0-0-0-1-1-0-1,8776232344.924978
200220-0-3,[2- 0- 0- 2- 2- 0- 0- 3],1-1-0-0-1-2-1-0-0-1,8776156568.58027
200222-0-0,[2- 0- 0- 2- 2- 2- 0- 0],1-1-0-0-1-1-1-1-0-0,8769669851.99767
200020-1-2,[2- 0- 0- 0- 2- 0- 1- 2],1-1-0-0-0-1-1-0-1-1,8767769435.04728
200020-2-2,[2- 0- 0- 0- 2- 0- 2- 2],1-1-0-0-0-1-1-0-1-1,8767769435.04728
200020-3-2,[2- 0- 0- 0- 2- 0- 3- 2],1-1-0-0-0-1-1-0-1-1,8767769435.04728
033033-2-0,[0- 3- 3- 0- 3- 3- 2- 0],2-0-1-1-0-1-1-1-1-0,8767127744.04097
200202-3-0,[2- 0- 0- 2- 0- 2- 3- 0],1-1-0-0-1-2-0-1-1-0,8766244500.096922
222002-0-3,[2- 2- 2- 0- 0- 2- 0- 3],1-1-1-1-0-2-0-1-0-1,8766016745.00496
330030-1-1,[3- 3- 0- 0- 3- 0- 1- 1],2-1-1-0-0-0-1-0-1-1,8763233124.539577
330030-2-1,[3- 3- 0- 0- 3- 0- 2- 1],2-1-1-0-0-0-1-0-1-1,8763233124.539577
330030-3-1,[3- 3- 0- 0- 3- 0- 3- 1],2-1-1-0-0-0-1-0-1-1,8763233124.539577
003333-0-0,[0- 0- 3- 3- 3- 3- 0- 0],2-0-0-1-1-2-1-1-0-0,8747433947.234655
110011-1-0,[1- 1- 0- 0- 1- 1- 1- 0],0-1-1-0-0-0-1-1-1-0,8741499136.537888
222002-0-2,[2- 2- 2- 0- 0- 2- 0- 2],1-1-1-1-0-1-0-1-0-1,8737546375.357922
003330-0-3,[0- 0- 3- 3- 3- 0- 0- 3],2-0-0-1-1-2-1-0-0-1,8730016571.373903
200002-1-1,[2- 0- 0- 0- 0- 2- 1- 1],1-1-0-0-0-0-0-1-1-1,8726069322.706202
200002-2-1,[2- 0- 0- 0- 0- 2- 2- 1],1-1-0-0-0-0-0-1-1-1,8726069322.706202
200002-3-1,[2- 0- 0- 0- 0- 2- 3- 1],1-1-0-0-0-0-0-1-1-1,8726069322.706202
333030-0-2,[3- 3- 3- 0- 3- 0- 0- 2],2-1-1-1-0-1-1-0-0-1,8724916388.374718
222200-2-0,[2- 2- 2- 2- 0- 0- 2- 0],1-1-1-1-1-1-0-0-1-0,8723509219.936255
222022-0-0,[2- 2- 2- 0- 2- 2- 0- 0],1-1-1-1-0-1-1-1-0-0,8720076067.514559
011111-0-0,[0- 1- 1- 1- 1- 1- 0- 0],0-0-1-1-1-0-1-1-0-0,8713338325.77977
333030-0-1,[3- 3- 3- 0- 3- 0- 0- 1],2-1-1-1-0-0-1-0-0-1,8711640378.38676
101110-2-0,[1- 0- 1- 1- 1- 0- 2- 0],0-1-0-1-1-1-1-0-1-0,8710406518.918934
002020-1-1,[0- 0- 2- 0- 2- 0- 1- 1],1-0-0-1-0-0-1-0-1-1,8708564530.82464
002020-2-1,[0- 0- 2- 0- 2- 0- 2- 1],1-0-0-1-0-0-1-0-1-1,8708564530.82464
002020-3-1,[0- 0- 2- 0- 2- 0- 3- 1],1-0-0-1-0-0-1-0-1-1,8708564530.82464
200022-0-1,[2- 0- 0- 0- 2- 2- 0- 1],1-1-0-0-0-0-1-1-0-1,8705531628.31719
011001-1-1,[0- 1- 1- 0- 0- 1- 1- 1],0-0-1-1-0-0-0-1-1-1,8704768241.761164
011001-2-1,[0- 1- 1- 0- 0- 1- 2- 1],0-0-1-1-0-0-0-1-1-1,8704768241.761164
011001-3-1,[0- 1- 1- 0- 0- 1- 3- 1],0-0-1-1-0-0-0-1-1-1,8704768241.761164
222200-3-0,[2- 2- 2- 2- 0- 0- 3- 0],1-1-1-1-1-2-0-0-1-0,8702395192.252804
020200-1-2,[0- 2- 0- 2- 0- 0- 1- 2],1-0-1-0-1-1-0-0-1-1,8699807287.338171
020200-2-2,[0- 2- 0- 2- 0- 0- 2- 2],1-0-1-0-1-1-0-0-1-1,8699807287.338171
020200-3-2,[0- 2- 0- 2- 0- 0- 3- 2],1-0-1-0-1-1-0-0-1-1,8699807287.338171
200220-0-1,[2- 0- 0- 2- 2- 0- 0- 1],1-1-0-0-1-0-1-0-0-1,8699130567.905163
222020-0-1,[2- 2- 2- 0- 2- 0- 0- 1],1-1-1-1-0-0-1-0-0-1,8697083455.940628
002020-1-2,[0- 0- 2- 0- 2- 0- 1- 2],1-0-0-1-0-1-1-0-1-1,8695467241.798471
002020-2-2,[0- 0- 2- 0- 2- 0- 2- 2],1-0-0-1-0-1-1-0-1-1,8695467241.798471
002020-3-2,[0- 0- 2- 0- 2- 0- 3- 2],1-0-0-1-0-1-1-0-1-1,8695467241.798471
030333-0-0,[0- 3- 0- 3- 3- 3- 0- 0],2-0-1-0-1-2-1-1-0-0,8694944153.147474
200020-1-1,[2- 0- 0- 0- 2- 0- 1- 1],1-1-0-0-0-0-1-0-1-1,8692469748.50166
200020-2-1,[2- 0- 0- 0- 2- 0- 2- 1],1-1-0-0-0-0-1-0-1-1,8692469748.50166
200020-3-1,[2- 0- 0- 0- 2- 0- 3- 1],1-1-0-0-0-0-1-0-1-1,8692469748.50166
033033-1-0,[0- 3- 3- 0- 3- 3- 1- 0],2-0-1-1-0-0-1-1-1-0,8686782659.952242
200022-2-0,[2- 0- 0- 0- 2- 2- 2- 0],1-1-0-0-0-1-1-1-1-0,8684583305.520485
110101-2-0,[1- 1- 0- 1- 0- 1- 2- 0],0-1-1-0-1-1-0-1-1-0,8683972620.475119
002200-1-3,[0- 0- 2- 2- 0- 0- 1- 3],1-0-0-1-1-2-0-0-1-1,8681535126.857533
002200-2-3,[0- 0- 2- 2- 0- 0- 2- 3],1-0-0-1-1-2-0-0-1-1,8681535126.857533
002200-3-3,[0- 0- 2- 2- 0- 0- 3- 3],1-0-0-1-1-2-0-0-1-1,8681535126.857533
000333-3-0,[0- 0- 0- 3- 3- 3- 3- 0],2-0-0-0-1-2-1-1-1-0,8677329016.710455
002002-1-2,[0- 0- 2- 0- 0- 2- 1- 2],1-0-0-1-0-1-0-1-1-1,8675005854.686007
002002-2-2,[0- 0- 2- 0- 0- 2- 2- 2],1-0-0-1-0-1-0-1-1-1,8675005854.686007
002002-3-2,[0- 0- 2- 0- 0- 2- 3- 2],1-0-0-1-0-1-0-1-1-1,8675005854.686007
000303-1-1,[0- 0- 0- 3- 0- 3- 1- 1],2-0-0-0-1-0-0-1-1-1,8674912063.308699
000303-2-1,[0- 0- 0- 3- 0- 3- 2- 1],2-0-0-0-1-0-0-1-1-1,8674912063.308699
000303-3-1,[0- 0- 0- 3- 0- 3- 3- 1],2-0-0-0-1-0-0-1-1-1,8674912063.308699
303300-0-2,[3- 0- 3- 3- 0- 0- 0- 2],2-1-0-1-1-1-0-0-0-1,8673895769.221245
002220-2-0,[0- 0- 2- 2- 2- 0- 2- 0],1-0-0-1-1-1-1-0-1-0,8671661042.584991
200202-2-0,[2- 0- 0- 2- 0- 2- 2- 0],1-1-0-0-1-1-0-1-1-0,8671248194.364328
002202-3-0,[0- 0- 2- 2- 0- 2- 3- 0],1-0-0-1-1-2-0-1-1-0,8668781942.214952
020022-0-3,[0- 2- 0- 0- 2- 2- 0- 3],1-0-1-0-0-2-1-1-0-1,8665174618.920763
330033-2-0,[3- 3- 0- 0- 3- 3- 2- 0],2-1-1-0-0-1-1-1-1-0,8663693073.520096
020202-3-0,[0- 2- 0- 2- 0- 2- 3- 0],1-0-1-0-1-2-0-1-1-0,8663345393.66505
020200-1-3,[0- 2- 0- 2- 0- 0- 1- 3],1-0-1-0-1-2-0-0-1-1,8661012444.361797
020200-2-3,[0- 2- 0- 2- 0- 0- 2- 3],1-0-1-0-1-2-0-0-1-1,8661012444.361797
020200-3-3,[0- 2- 0- 2- 0- 0- 3- 3],1-0-1-0-1-2-0-0-1-1,8661012444.361797
000110-1-1,[0- 0- 0- 1- 1- 0- 1- 1],0-0-0-0-1-0-1-0-1-1,8658589336.975084
000110-2-1,[0- 0- 0- 1- 1- 0- 2- 1],0-0-0-0-1-0-1-0-1-1,8658589336.975084
000110-3-1,[0- 0- 0- 1- 1- 0- 3- 1],0-0-0-0-1-0-1-0-1-1,8658589336.975084
030330-0-3,[0- 3- 0- 3- 3- 0- 0- 3],2-0-1-0-1-2-1-0-0-1,8654706127.667305
002022-0-1,[0- 0- 2- 0- 2- 2- 0- 1],1-0-0-1-0-0-1-1-0-1,8653329816.455963
000110-1-3,[0- 0- 0- 1- 1- 0- 1- 3],0-0-0-0-1-2-1-0-1-1,8645825140.754448
000110-2-3,[0- 0- 0- 1- 1- 0- 2- 3],0-0-0-0-1-2-1-0-1-1,8645825140.754448
000110-3-3,[0- 0- 0- 1- 1- 0- 3- 3],0-0-0-0-1-2-1-0-1-1,8645825140.754448
300300-1-2,[3- 0- 0- 3- 0- 0- 1- 2],2-1-0-0-1-1-0-0-1-1,8642067661.245457
300300-2-2,[3- 0- 0- 3- 0- 0- 2- 2],2-1-0-0-1-1-0-0-1-1,8642067661.245457
300300-3-2,[3- 0- 0- 3- 0- 0- 3- 2],2-1-0-0-1-1-0-0-1-1,8642067661.245457
330003-1-3,[3- 3- 0- 0- 0- 3- 1- 3],2-1-1-0-0-2-0-1-1-1,8641779246.425043
330003-2-3,[3- 3- 0- 0- 0- 3- 2- 3],2-1-1-0-0-2-0-1-1-1,8641779246.425043
330003-3-3,[3- 3- 0- 0- 0- 3- 3- 3],2-1-1-0-0-2-0-1-1-1,8641779246.425043
000333-1-0,[0- 0- 0- 3- 3- 3- 1- 0],2-0-0-0-1-0-1-1-1-0,8636724220.923552
000330-1-3,[0- 0- 0- 3- 3- 0- 1- 3],2-0-0-0-1-2-1-0-1-1,8636358387.371988
000330-2-3,[0- 0- 0- 3- 3- 0- 2- 3],2-0-0-0-1-2-1-0-1-1,8636358387.371988
000330-3-3,[0- 0- 0- 3- 3- 0- 3- 3],2-0-0-0-1-2-1-0-1-1,8636358387.371988
101100-1-1,[1- 0- 1- 1- 0- 0- 1- 1],0-1-0-1-1-0-0-0-1-1,8632664462.808855
101100-2-1,[1- 0- 1- 1- 0- 0- 2- 1],0-1-0-1-1-0-0-0-1-1,8632664462.808855
101100-3-1,[1- 0- 1- 1- 0- 0- 3- 1],0-1-0-1-1-0-0-0-1-1,8632664462.808855
333300-3-0,[3- 3- 3- 3- 0- 0- 3- 0],2-1-1-1-1-2-0-0-1-0,8629556804.947025
303030-1-3,[3- 0- 3- 0- 3- 0- 1- 3],2-1-0-1-0-2-1-0-1-1,8627456647.567438
303030-2-3,[3- 0- 3- 0- 3- 0- 2- 3],2-1-0-1-0-2-1-0-1-1,8627456647.567438
303030-3-3,[3- 0- 3- 0- 3- 0- 3- 3],2-1-0-1-0-2-1-0-1-1,8627456647.567438
300333-0-0,[3- 0- 0- 3- 3- 3- 0- 0],2-1-0-0-1-2-1-1-0-0,8623492591.722036
002022-0-3,[0- 0- 2- 0- 2- 2- 0- 3],1-0-0-1-0-2-1-1-0-1,8623443157.630867
000111-2-0,[0- 0- 0- 1- 1- 1- 2- 0],0-0-0-0-1-1-1-1-1-0,8622209798.016182
033300-0-2,[0- 3- 3- 3- 0- 0- 0- 2],2-0-1-1-1-1-0-0-0-1,8620914680.964611
020020-1-2,[0- 2- 0- 0- 2- 0- 1- 2],1-0-1-0-0-1-1-0-1-1,8620547611.059961
020020-2-2,[0- 2- 0- 0- 2- 0- 2- 2],1-0-1-0-0-1-1-0-1-1,8620547611.059961
020020-3-2,[0- 2- 0- 0- 2- 0- 3- 2],1-0-1-0-0-1-1-0-1-1,8620547611.059961
033003-1-2,[0- 3- 3- 0- 0- 3- 1- 2],2-0-1-1-0-1-0-1-1-1,8618781575.090588
033003-2-2,[0- 3- 3- 0- 0- 3- 2- 2],2-0-1-1-0-1-0-1-1-1,8618781575.090588
033003-3-2,[0- 3- 3- 0- 0- 3- 3- 2],2-0-1-1-0-1-0-1-1-1,8618781575.090588
200202-0-1,[2- 0- 0- 2- 0- 2- 0- 1],1-1-0-0-1-0-0-1-0-1,8614671781.916279
022220-0-0,[0- 2- 2- 2- 2- 0- 0- 0],1-0-1-1-1-1-1-0-0-0,8614318113.080414
303033-3-0,[3- 0- 3- 0- 3- 3- 3- 0],2-1-0-1-0-2-1-1-1-0,8614061705.401724
300303-0-1,[3- 0- 0- 3- 0- 3- 0- 1],2-1-0-0-1-0-0-1-0-1,8613991017.672476
002202-2-0,[0- 0- 2- 2- 0- 2- 2- 0],1-0-0-1-1-1-0-1-1-0,8611859938.807688
100011-0-2,[1- 0- 0- 0- 1- 1- 0- 2],0-1-0-0-0-1-1-1-0-1,8607555209.829138
020002-1-2,[0- 2- 0- 0- 0- 2- 1- 2],1-0-1-0-0-1-0-1-1-1,8606830331.33772
020002-2-2,[0- 2- 0- 0- 0- 2- 2- 2],1-0-1-0-0-1-0-1-1-1,8606830331.33772
020002-3-2,[0- 2- 0- 0- 0- 2- 3- 2],1-0-1-0-0-1-0-1-1-1,8606830331.33772
101101-0-1,[1- 0- 1- 1- 0- 1- 0- 1],0-1-0-1-1-0-0-1-0-1,8604296521.402006
300330-0-3,[3- 0- 0- 3- 3- 0- 0- 3],2-1-0-0-1-2-1-0-0-1,8596396925.479483
003300-1-2,[0- 0- 3- 3- 0- 0- 1- 2],2-0-0-1-1-1-0-0-1-1,8595371408.108213
003300-2-2,[0- 0- 3- 3- 0- 0- 2- 2],2-0-0-1-1-1-0-0-1-1,8595371408.108213
003300-3-2,[0- 0- 3- 3- 0- 0- 3- 2],2-0-0-1-1-1-0-0-1-1,8595371408.108213
002202-0-1,[0- 0- 2- 2- 0- 2- 0- 1],1-0-0-1-1-0-0-1-0-1,8590441841.343243
000111-3-0,[0- 0- 0- 1- 1- 1- 3- 0],0-0-0-0-1-2-1-1-1-0,8590396943.760843
003303-0-1,[0- 0- 3- 3- 0- 3- 0- 1],2-0-0-1-1-0-0-1-0-1,8589723878.112027
020002-1-3,[0- 2- 0- 0- 0- 2- 1- 3],1-0-1-0-0-2-0-1-1-1,8587150130.134067
020002-2-3,[0- 2- 0- 0- 0- 2- 2- 3],1-0-1-0-0-2-0-1-1-1,8587150130.134067
020002-3-3,[0- 2- 0- 0- 0- 2- 3- 3],1-0-1-0-0-2-0-1-1-1,8587150130.134067
010001-1-3,[0- 1- 0- 0- 0- 1- 1- 3],0-0-1-0-0-2-0-1-1-1,8587125406.170636
010001-2-3,[0- 1- 0- 0- 0- 1- 2- 3],0-0-1-0-0-2-0-1-1-1,8587125406.170636
010001-3-3,[0- 1- 0- 0- 0- 1- 3- 3],0-0-1-0-0-2-0-1-1-1,8587125406.170636
020220-2-0,[0- 2- 0- 2- 2- 0- 2- 0],1-0-1-0-1-1-1-0-1-0,8586930547.288885
002220-1-0,[0- 0- 2- 2- 2- 0- 1- 0],1-0-0-1-1-0-1-0-1-0,8582099417.780308
100101-0-3,[1- 0- 0- 1- 0- 1- 0- 3],0-1-0-0-1-2-0-1-0-1,8581402344.781262
222020-0-3,[2- 2- 2- 0- 2- 0- 0- 3],1-1-1-1-0-2-1-0-0-1,8580386598.339646
011100-1-1,[0- 1- 1- 1- 0- 0- 1- 1],0-0-1-1-1-0-0-0-1-1,8578297573.699759
011100-2-1,[0- 1- 1- 1- 0- 0- 2- 1],0-0-1-1-1-0-0-0-1-1,8578297573.699759
011100-3-1,[0- 1- 1- 1- 0- 0- 3- 1],0-0-1-1-1-0-0-0-1-1,8578297573.699759
010001-1-2,[0- 1- 0- 0- 0- 1- 1- 2],0-0-1-0-0-1-0-1-1-1,8569394620.136231
010001-2-2,[0- 1- 0- 0- 0- 1- 2- 2],0-0-1-0-0-1-0-1-1-1,8569394620.136231
010001-3-2,[0- 1- 0- 0- 0- 1- 3- 2],0-0-1-0-0-1-0-1-1-1,8569394620.136231
003330-1-0,[0- 0- 3- 3- 3- 0- 1- 0],2-0-0-1-1-0-1-0-1-0,8567622295.006423
333300-1-0,[3- 3- 3- 3- 0- 0- 1- 0],2-1-1-1-1-0-0-0-1-0,8566660777.524893
100010-1-2,[1- 0- 0- 0- 1- 0- 1- 2],0-1-0-0-0-1-1-0-1-1,8565586869.737424
100010-2-2,[1- 0- 0- 0- 1- 0- 2- 2],0-1-0-0-0-1-1-0-1-1,8565586869.737424
100010-3-2,[1- 0- 0- 0- 1- 0- 3- 2],0-1-0-0-0-1-1-0-1-1,8565586869.737424
110110-2-0,[1- 1- 0- 1- 1- 0- 2- 0],0-1-1-0-1-1-1-0-1-0,8561385616.5294
003330-2-0,[0- 0- 3- 3- 3- 0- 2- 0],2-0-0-1-1-1-1-0-1-0,8559630557.261887
002022-2-0,[0- 0- 2- 0- 2- 2- 2- 0],1-0-0-1-0-1-1-1-1-0,8554909215.303673
002002-1-3,[0- 0- 2- 0- 0- 2- 1- 3],1-0-0-1-0-2-0-1-1-1,8554774081.007859
002002-2-3,[0- 0- 2- 0- 0- 2- 2- 3],1-0-0-1-0-2-0-1-1-1,8554774081.007859
002002-3-3,[0- 0- 2- 0- 0- 2- 3- 3],1-0-0-1-0-2-0-1-1-1,8554774081.007859
001001-1-2,[0- 0- 1- 0- 0- 1- 1- 2],0-0-0-1-0-1-0-1-1-1,8553145272.88359
001001-2-2,[0- 0- 1- 0- 0- 1- 2- 2],0-0-0-1-0-1-0-1-1-1,8553145272.88359
001001-3-2,[0- 0- 1- 0- 0- 1- 3- 2],0-0-0-1-0-1-0-1-1-1,8553145272.88359
022200-0-3,[0- 2- 2- 2- 0- 0- 0- 3],1-0-1-1-1-2-0-0-0-1,8548982236.700581
101110-3-0,[1- 0- 1- 1- 1- 0- 3- 0],0-1-0-1-1-2-1-0-1-0,8545536325.327954
110110-0-1,[1- 1- 0- 1- 1- 0- 0- 1],0-1-1-0-1-0-1-0-0-1,8537367813.16099
100001-1-1,[1- 0- 0- 0- 0- 1- 1- 1],0-1-0-0-0-0-0-1-1-1,8537166727.55854
100001-2-1,[1- 0- 0- 0- 0- 1- 2- 1],0-1-0-0-0-0-0-1-1-1,8537166727.55854
100001-3-1,[1- 0- 0- 0- 0- 1- 3- 1],0-1-0-0-0-0-0-1-1-1,8537166727.55854
100011-0-3,[1- 0- 0- 0- 1- 1- 0- 3],0-1-0-0-0-2-1-1-0-1,8528319657.940202
020022-2-0,[0- 2- 0- 0- 2- 2- 2- 0],1-0-1-0-0-1-1-1-1-0,8525735405.257822
002200-1-1,[0- 0- 2- 2- 0- 0- 1- 1],1-0-0-1-1-0-0-0-1-1,8519804045.819792
002200-2-1,[0- 0- 2- 2- 0- 0- 2- 1],1-0-0-1-1-0-0-0-1-1,8519804045.819792
002200-3-1,[0- 0- 2- 2- 0- 0- 3- 1],1-0-0-1-1-0-0-0-1-1,8519804045.819792
022200-0-2,[0- 2- 2- 2- 0- 0- 0- 2],1-0-1-1-1-1-0-0-0-1,8519754989.833587
000101-1-1,[0- 0- 0- 1- 0- 1- 1- 1],0-0-0-0-1-0-0-1-1-1,8518415576.341608
000101-2-1,[0- 0- 0- 1- 0- 1- 2- 1],0-0-0-0-1-0-0-1-1-1,8518415576.341608
000101-3-1,[0- 0- 0- 1- 0- 1- 3- 1],0-0-0-0-1-0-0-1-1-1,8518415576.341608
020020-1-1,[0- 2- 0- 0- 2- 0- 1- 1],1-0-1-0-0-0-1-0-1-1,8515454381.867098
020020-2-1,[0- 2- 0- 0- 2- 0- 2- 1],1-0-1-0-0-0-1-0-1-1,8515454381.867098
020020-3-1,[0- 2- 0- 0- 2- 0- 3- 1],1-0-1-0-0-0-1-0-1-1,8515454381.867098
020202-2-0,[0- 2- 0- 2- 0- 2- 2- 0],1-0-1-0-1-1-0-1-1-0,8514799491.236176
200022-3-0,[2- 0- 0- 0- 2- 2- 3- 0],1-1-0-0-0-2-1-1-1-0,8514340340.958338
330003-1-1,[3- 3- 0- 0- 0- 3- 1- 1],2-1-1-0-0-0-0-1-1-1,8513314145.892818
330003-2-1,[3- 3- 0- 0- 0- 3- 2- 1],2-1-1-0-0-0-0-1-1-1,8513314145.892818
330003-3-1,[3- 3- 0- 0- 0- 3- 3- 1],2-1-1-0-0-0-0-1-1-1,8513314145.892818
202200-0-3,[2- 0- 2- 2- 0- 0- 0- 3],1-1-0-1-1-2-0-0-0-1,8509251535.72868
010010-1-2,[0- 1- 0- 0- 1- 0- 1- 2],0-0-1-0-0-1-1-0-1-1,8508777464.781096
010010-2-2,[0- 1- 0- 0- 1- 0- 2- 2],0-0-1-0-0-1-1-0-1-1,8508777464.781096
010010-3-2,[0- 1- 0- 0- 1- 0- 3- 2],0-0-1-0-0-1-1-0-1-1,8508777464.781096
330033-1-0,[3- 3- 0- 0- 3- 3- 1- 0],2-1-1-0-0-0-1-1-1-0,8506945648.299669
202200-0-2,[2- 0- 2- 2- 0- 0- 0- 2],1-1-0-1-1-1-0-0-0-1,8500609825.65865
001001-1-3,[0- 0- 1- 0- 0- 1- 1- 3],0-0-0-1-0-2-0-1-1-1,8498182075.7227335
001001-2-3,[0- 0- 1- 0- 0- 1- 2- 3],0-0-0-1-0-2-0-1-1-1,8498182075.7227335
001001-3-3,[0- 0- 1- 0- 0- 1- 3- 3],0-0-0-1-0-2-0-1-1-1,8498182075.7227335
200022-1-0,[2- 0- 0- 0- 2- 2- 1- 0],1-1-0-0-0-0-1-1-1-0,8497198385.433362
010011-0-2,[0- 1- 0- 0- 1- 1- 0- 2],0-0-1-0-0-1-1-1-0-1,8495719928.213643
101110-1-0,[1- 0- 1- 1- 1- 0- 1- 0],0-1-0-1-1-0-1-0-1-0,8494867914.296324
101111-0-0,[1- 0- 1- 1- 1- 1- 0- 0],0-1-0-1-1-0-1-1-0-0,8494511687.280092
020022-0-1,[0- 2- 0- 0- 2- 2- 0- 1],1-0-1-0-0-0-1-1-0-1,8494153133.930532
011101-0-1,[0- 1- 1- 1- 0- 1- 0- 1],0-0-1-1-1-0-0-1-0-1,8490942793.849703
110110-3-0,[1- 1- 0- 1- 1- 0- 3- 0],0-1-1-0-1-2-1-0-1-0,8486451548.442331
303300-0-3,[3- 0- 3- 3- 0- 0- 0- 3],2-1-0-1-1-2-0-0-0-1,8486022937.4736185
200200-1-1,[2- 0- 0- 2- 0- 0- 1- 1],1-1-0-0-1-0-0-0-1-1,8485902405.0262985
200200-2-1,[2- 0- 0- 2- 0- 0- 2- 1],1-1-0-0-1-0-0-0-1-1,8485902405.0262985
200200-3-1,[2- 0- 0- 2- 0- 0- 3- 1],1-1-0-0-1-0-0-0-1-1,8485902405.0262985
100011-2-0,[1- 0- 0- 0- 1- 1- 2- 0],0-1-0-0-0-1-1-1-1-0,8482404545.624483
333003-0-2,[3- 3- 3- 0- 0- 3- 0- 2],2-1-1-1-0-1-0-1-0-1,8480374915.961426
033330-0-0,[0- 3- 3- 3- 3- 0- 0- 0],2-0-1-1-1-2-1-0-0-0,8475256253.898005
033303-0-0,[0- 3- 3- 3- 0- 3- 0- 0],2-0-1-1-1-2-0-1-0-0,8471738833.218599
300303-2-0,[3- 0- 0- 3- 0- 3- 2- 0],2-1-0-0-1-1-0-1-1-0,8471218987.270548
001010-1-2,[0- 0- 1- 0- 1- 0- 1- 2],0-0-0-1-0-1-1-0-1-1,8470817611.898713
001010-2-2,[0- 0- 1- 0- 1- 0- 2- 2],0-0-0-1-0-1-1-0-1-1,8470817611.898713
001010-3-2,[0- 0- 1- 0- 1- 0- 3- 2],0-0-0-1-0-1-1-0-1-1,8470817611.898713
001011-0-2,[0- 0- 1- 0- 1- 1- 0- 2],0-0-0-1-0-1-1-1-0-1,8469535204.663793
033030-1-3,[0- 3- 3- 0- 3- 0- 1- 3],2-0-1-1-0-2-1-0-1-1,8467481504.60451
033030-2-3,[0- 3- 3- 0- 3- 0- 2- 3],2-0-1-1-0-2-1-0-1-1,8467481504.60451
033030-3-3,[0- 3- 3- 0- 3- 0- 3- 3],2-0-1-1-0-2-1-0-1-1,8467481504.60451
033300-0-3,[0- 3- 3- 3- 0- 0- 0- 3],2-0-1-1-1-2-0-0-0-1,8466303955.677945
000111-0-1,[0- 0- 0- 1- 1- 1- 0- 1],0-0-0-0-1-0-1-1-0-1,8464384562.625948
303303-0-0,[3- 0- 3- 3- 0- 3- 0- 0],2-1-0-1-1-2-0-1-0-0,8463085929.929712
010011-0-3,[0- 1- 0- 0- 1- 1- 0- 3],0-0-1-0-0-2-1-1-0-1,8456443798.730325
001101-0-3,[0- 0- 1- 1- 0- 1- 0- 3],0-0-0-1-1-2-0-1-0-1,8451057211.675552
033033-3-0,[0- 3- 3- 0- 3- 3- 3- 0],2-0-1-1-0-2-1-1-1-0,8450845931.061708
300303-3-0,[3- 0- 0- 3- 0- 3- 3- 0],2-1-0-0-1-2-0-1-1-0,8450648255.15135
010101-0-3,[0- 1- 0- 1- 0- 1- 0- 3],0-0-1-0-1-2-0-1-0-1,8449201220.56935
300300-1-3,[3- 0- 0- 3- 0- 0- 1- 3],2-1-0-0-1-2-0-0-1-1,8442873573.457741
300300-2-3,[3- 0- 0- 3- 0- 0- 2- 3],2-1-0-0-1-2-0-0-1-1,8442873573.457741
300300-3-3,[3- 0- 0- 3- 0- 0- 3- 3],2-1-0-0-1-2-0-0-1-1,8442873573.457741
300033-0-2,[3- 0- 0- 0- 3- 3- 0- 2],2-1-0-0-0-1-1-1-0-1,8442771765.111555
002022-1-0,[0- 0- 2- 0- 2- 2- 1- 0],1-0-0-1-0-0-1-1-1-0,8437823617.876493
200020-1-3,[2- 0- 0- 0- 2- 0- 1- 3],1-1-0-0-0-2-1-0-1-1,8435645152.84024
200020-2-3,[2- 0- 0- 0- 2- 0- 2- 3],1-1-0-0-0-2-1-0-1-1,8435645152.84024
200020-3-3,[2- 0- 0- 0- 2- 0- 3- 3],1-1-0-0-0-2-1-0-1-1,8435645152.84024
010011-2-0,[0- 1- 0- 0- 1- 1- 2- 0],0-0-1-0-0-1-1-1-1-0,8426745467.95467
020220-3-0,[0- 2- 0- 2- 2- 0- 3- 0],1-0-1-0-1-2-1-0-1-0,8424826651.097337
330033-3-0,[3- 3- 0- 0- 3- 3- 3- 0],2-1-1-0-0-2-1-1-1-0,8423168840.026676
100010-1-1,[1- 0- 0- 0- 1- 0- 1- 1],0-1-0-0-0-0-1-0-1-1,8421723554.754406
